ID,Category,Issue,Action,Details
20748468,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=9845; prompt_characters=7989; limit=8000
98300955,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=10414; prompt_characters=7990; limit=8000
10480456,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=16050; prompt_characters=7988; limit=8000
14667957,HEALTHCARE,contact_data,redacted,email_matches=0; phone_matches=1; source_row=720
10062724,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=11455; prompt_characters=7995; limit=8000
17864043,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=8002; prompt_characters=7992; limit=8000
16121387,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=8972; prompt_characters=7990; limit=8000
13565152,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=12050; prompt_characters=7994; limit=8000
27917969,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=10785; prompt_characters=7986; limit=8000
28423028,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=8026; prompt_characters=7994; limit=8000
23110214,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=8330; prompt_characters=7978; limit=8000
17963031,HEALTHCARE,contact_data,redacted,email_matches=0; phone_matches=1; source_row=750
98309114,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=11928; prompt_characters=7988; limit=8000
45907524,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=9186; prompt_characters=7994; limit=8000
85417107,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=8178; prompt_characters=7997; limit=8000
16356151,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=9538; prompt_characters=7995; limit=8000
33803142,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=8255; prompt_characters=7992; limit=8000
32563518,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=8743; prompt_characters=7992; limit=8000
10568183,HEALTHCARE,contact_data,redacted,email_matches=0; phone_matches=4; source_row=782
97169343,HEALTHCARE,long_resume,prompt_text_limited,clean_characters=11468; prompt_characters=7991; limit=8000
30757456,FITNESS,long_resume,prompt_text_limited,clean_characters=12787; prompt_characters=7993; limit=8000
19037403,FITNESS,long_resume,prompt_text_limited,clean_characters=8281; prompt_characters=7990; limit=8000
13367322,FITNESS,long_resume,prompt_text_limited,clean_characters=8072; prompt_characters=7986; limit=8000
12923795,FITNESS,long_resume,prompt_text_limited,clean_characters=8271; prompt_characters=7992; limit=8000
36139251,FITNESS,long_resume,prompt_text_limited,clean_characters=9738; prompt_characters=7988; limit=8000
70603826,FITNESS,long_resume,prompt_text_limited,clean_characters=8177; prompt_characters=7986; limit=8000
19938081,FITNESS,long_resume,prompt_text_limited,clean_characters=9214; prompt_characters=7991; limit=8000
10333051,FITNESS,long_resume,prompt_text_limited,clean_characters=8492; prompt_characters=7989; limit=8000
34792238,FITNESS,long_resume,prompt_text_limited,clean_characters=13754; prompt_characters=7987; limit=8000
37292350,AGRICULTURE,contact_data,redacted,email_matches=0; phone_matches=1; source_row=914
37292350,AGRICULTURE,long_resume,prompt_text_limited,clean_characters=14255; prompt_characters=7992; limit=8000
30437583,AGRICULTURE,contact_data,redacted,email_matches=1; phone_matches=2; source_row=924
38216888,AGRICULTURE,contact_data,redacted,email_matches=2; phone_matches=0; source_row=929
11813872,AGRICULTURE,long_resume,prompt_text_limited,clean_characters=8602; prompt_characters=7997; limit=8000
23631188,AGRICULTURE,long_resume,prompt_text_limited,clean_characters=8073; prompt_characters=7982; limit=8000
36102323,AGRICULTURE,long_resume,prompt_text_limited,clean_characters=8047; prompt_characters=7986; limit=8000
20969119,AGRICULTURE,long_resume,prompt_text_limited,clean_characters=9260; prompt_characters=7996; limit=8000
17640785,AGRICULTURE,contact_data,redacted,email_matches=4; phone_matches=3; source_row=951
16507693,AGRICULTURE,contact_data,redacted,email_matches=0; phone_matches=2; source_row=959
16507693,AGRICULTURE,long_resume,prompt_text_limited,clean_characters=11044; prompt_characters=7989; limit=8000
26835781,AGRICULTURE,contact_data,redacted,email_matches=1; phone_matches=1; source_row=961
18264694,AGRICULTURE,long_resume,prompt_text_limited,clean_characters=10566; prompt_characters=7989; limit=8000
16661264,AGRICULTURE,contact_data,redacted,email_matches=0; phone_matches=9; source_row=968
16661264,AGRICULTURE,long_resume,prompt_text_limited,clean_characters=11467; prompt_characters=7989; limit=8000
26070334,AGRICULTURE,contact_data,redacted,email_matches=0; phone_matches=1; source_row=969
26070334,AGRICULTURE,long_resume,prompt_text_limited,clean_characters=10392; prompt_characters=7992; limit=8000
29142288,AGRICULTURE,long_resume,prompt_text_limited,clean_characters=10986; prompt_characters=7997; limit=8000
79536879,AGRICULTURE,contact_data,redacted,email_matches=0; phone_matches=5; source_row=972
79536879,AGRICULTURE,long_resume,prompt_text_limited,clean_characters=9406; prompt_characters=7985; limit=8000
23933031,BPO,long_resume,prompt_text_limited,clean_characters=8336; prompt_characters=7990; limit=8000
11183737,BPO,long_resume,prompt_text_limited,clean_characters=8194; prompt_characters=7987; limit=8000
57706851,BPO,long_resume,prompt_text_limited,clean_characters=9750; prompt_characters=7987; limit=8000
41152404,BPO,long_resume,prompt_text_limited,clean_characters=8059; prompt_characters=7989; limit=8000
27710853,BPO,long_resume,prompt_text_limited,clean_characters=15663; prompt_characters=7996; limit=8000
15573418,BPO,long_resume,prompt_text_limited,clean_characters=8716; prompt_characters=7990; limit=8000
45077654,BPO,long_resume,prompt_text_limited,clean_characters=9049; prompt_characters=7991; limit=8000
29134721,SALES,long_resume,prompt_text_limited,clean_characters=12208; prompt_characters=7986; limit=8000
36904300,SALES,long_resume,prompt_text_limited,clean_characters=9193; prompt_characters=7984; limit=8000
26932091,SALES,long_resume,prompt_text_limited,clean_characters=8216; prompt_characters=7987; limit=8000
42304307,SALES,encoding_replacement_character,excluded,replacement_characters=12; source_row=1071
13178604,SALES,long_resume,prompt_text_limited,clean_characters=9696; prompt_characters=7997; limit=8000
65456466,SALES,long_resume,prompt_text_limited,clean_characters=8150; prompt_characters=7981; limit=8000
17704246,SALES,long_resume,prompt_text_limited,clean_characters=17961; prompt_characters=7993; limit=8000
70528646,SALES,long_resume,prompt_text_limited,clean_characters=9190; prompt_characters=7990; limit=8000
23032182,SALES,long_resume,prompt_text_limited,clean_characters=8859; prompt_characters=7988; limit=8000
36970996,SALES,long_resume,prompt_text_limited,clean_characters=8692; prompt_characters=7991; limit=8000
31199035,SALES,contact_data,redacted,email_matches=0; phone_matches=12; source_row=1102
43311839,CONSULTANT,long_resume,prompt_text_limited,clean_characters=11809; prompt_characters=7991; limit=8000
93349646,CONSULTANT,long_resume,prompt_text_limited,clean_characters=8064; prompt_characters=7983; limit=8000
93459677,CONSULTANT,long_resume,prompt_text_limited,clean_characters=9138; prompt_characters=7986; limit=8000
22259768,CONSULTANT,long_resume,prompt_text_limited,clean_characters=9745; prompt_characters=7986; limit=8000
29723311,CONSULTANT,long_resume,prompt_text_limited,clean_characters=10265; prompt_characters=7990; limit=8000
22556198,CONSULTANT,long_resume,prompt_text_limited,clean_characters=8290; prompt_characters=7982; limit=8000
30863060,CONSULTANT,long_resume,prompt_text_limited,clean_characters=8103; prompt_characters=7992; limit=8000
39441617,CONSULTANT,long_resume,prompt_text_limited,clean_characters=8876; prompt_characters=7996; limit=8000
12374933,CONSULTANT,long_resume,prompt_text_limited,clean_characters=11374; prompt_characters=7983; limit=8000
20176584,CONSULTANT,long_resume,prompt_text_limited,clean_characters=10772; prompt_characters=7982; limit=8000
23302948,CONSULTANT,long_resume,prompt_text_limited,clean_characters=8165; prompt_characters=7994; limit=8000
31217840,CONSULTANT,long_resume,prompt_text_limited,clean_characters=10573; prompt_characters=7987; limit=8000
29647215,CONSULTANT,long_resume,prompt_text_limited,clean_characters=8230; prompt_characters=7994; limit=8000
73075521,CONSULTANT,long_resume,prompt_text_limited,clean_characters=12388; prompt_characters=7985; limit=8000
20314980,CONSULTANT,long_resume,prompt_text_limited,clean_characters=12657; prompt_characters=7989; limit=8000
27726066,CONSULTANT,long_resume,prompt_text_limited,clean_characters=8422; prompt_characters=7993; limit=8000
95429627,CONSULTANT,contact_data,redacted,email_matches=1; phone_matches=1; source_row=1174
92246939,CONSULTANT,long_resume,prompt_text_limited,clean_characters=11092; prompt_characters=7990; limit=8000
31016926,CONSULTANT,long_resume,prompt_text_limited,clean_characters=8320; prompt_characters=7982; limit=8000
95792386,CONSULTANT,long_resume,prompt_text_limited,clean_characters=10333; prompt_characters=7983; limit=8000
14593060,CONSULTANT,long_resume,prompt_text_limited,clean_characters=8839; prompt_characters=7994; limit=8000
12251115,CONSULTANT,contact_data,redacted,email_matches=0; phone_matches=3; source_row=1191
12955994,CONSULTANT,long_resume,prompt_text_limited,clean_characters=8515; prompt_characters=7995; limit=8000
13215696,CONSULTANT,long_resume,prompt_text_limited,clean_characters=9422; prompt_characters=7995; limit=8000
29297393,CONSULTANT,long_resume,prompt_text_limited,clean_characters=13044; prompt_characters=7982; limit=8000
22571461,CONSULTANT,contact_data,redacted,email_matches=1; phone_matches=1; source_row=1204
15535920,CONSULTANT,long_resume,prompt_text_limited,clean_characters=12363; prompt_characters=7988; limit=8000
26919036,CONSULTANT,contact_data,redacted,email_matches=1; phone_matches=1; source_row=1223
26167298,CONSULTANT,long_resume,prompt_text_limited,clean_characters=14759; prompt_characters=7984; limit=8000
19861776,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=10382; prompt_characters=7992; limit=8000
11005406,DIGITAL-MEDIA,contact_data,redacted,email_matches=0; phone_matches=1; source_row=1236
26341987,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=14401; prompt_characters=7984; limit=8000
27419236,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=9099; prompt_characters=7986; limit=8000
18442517,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=8109; prompt_characters=7987; limit=8000
24574164,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=10742; prompt_characters=7991; limit=8000
23085604,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=23723; prompt_characters=7995; limit=8000
37739183,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=12627; prompt_characters=7992; limit=8000
91539554,DIGITAL-MEDIA,contact_data,redacted,email_matches=0; phone_matches=2; source_row=1271
73282756,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=8867; prompt_characters=7988; limit=8000
56952849,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=8223; prompt_characters=7993; limit=8000
20490741,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=12276; prompt_characters=7988; limit=8000
80679862,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=9715; prompt_characters=7986; limit=8000
28679359,DIGITAL-MEDIA,long_resume,prompt_text_limited,clean_characters=8599; prompt_characters=7979; limit=8000
11152490,AUTOMOBILE,long_resume,prompt_text_limited,clean_characters=13271; prompt_characters=7990; limit=8000
99680385,AUTOMOBILE,long_resume,prompt_text_limited,clean_characters=9384; prompt_characters=7981; limit=8000
22452756,AUTOMOBILE,contact_data,redacted,email_matches=0; phone_matches=1; source_row=1356
51508889,AUTOMOBILE,long_resume,prompt_text_limited,clean_characters=21063; prompt_characters=7982; limit=8000
23568731,CHEF,long_resume,prompt_text_limited,clean_characters=8176; prompt_characters=7995; limit=8000
14663897,CHEF,long_resume,prompt_text_limited,clean_characters=35395; prompt_characters=7991; limit=8000
34252537,CHEF,long_resume,prompt_text_limited,clean_characters=9477; prompt_characters=7993; limit=8000
13095891,CHEF,contact_data,redacted,email_matches=0; phone_matches=1; source_row=1383
23032276,CHEF,long_resume,prompt_text_limited,clean_characters=11778; prompt_characters=7994; limit=8000
65373280,CHEF,long_resume,prompt_text_limited,clean_characters=14165; prompt_characters=7992; limit=8000
94047639,CHEF,long_resume,prompt_text_limited,clean_characters=10224; prompt_characters=7994; limit=8000
33964275,CHEF,long_resume,prompt_text_limited,clean_characters=10912; prompt_characters=7975; limit=8000
21101152,CHEF,long_resume,prompt_text_limited,clean_characters=8013; prompt_characters=7991; limit=8000
22561438,CHEF,contact_data,redacted,email_matches=0; phone_matches=3; source_row=1426
29775391,CHEF,long_resume,prompt_text_limited,clean_characters=9179; prompt_characters=7991; limit=8000
28396528,CHEF,long_resume,prompt_text_limited,clean_characters=8483; prompt_characters=7981; limit=8000
36366044,CHEF,long_resume,prompt_text_limited,clean_characters=8578; prompt_characters=7989; limit=8000
24709432,CHEF,contact_data,redacted,email_matches=0; phone_matches=3; source_row=1464
11432686,CHEF,long_resume,prompt_text_limited,clean_characters=10473; prompt_characters=7992; limit=8000
25452321,CHEF,contact_data,redacted,email_matches=0; phone_matches=5; source_row=1470
26530575,FINANCE,long_resume,prompt_text_limited,clean_characters=10009; prompt_characters=7987; limit=8000
70541112,FINANCE,long_resume,prompt_text_limited,clean_characters=8119; prompt_characters=7991; limit=8000
84356308,FINANCE,long_resume,prompt_text_limited,clean_characters=9431; prompt_characters=7990; limit=8000
28758002,FINANCE,encoding_replacement_character,excluded,replacement_characters=12; source_row=1504
28396458,FINANCE,long_resume,prompt_text_limited,clean_characters=8210; prompt_characters=7993; limit=8000
28398216,FINANCE,duplicate_normalized_text,excluded,retained_id=19147603; source_row=1511
16426777,FINANCE,long_resume,prompt_text_limited,clean_characters=8017; prompt_characters=7992; limit=8000
81677620,FINANCE,long_resume,prompt_text_limited,clean_characters=9453; prompt_characters=7983; limit=8000
24670867,FINANCE,long_resume,prompt_text_limited,clean_characters=9194; prompt_characters=7995; limit=8000
15011085,FINANCE,long_resume,prompt_text_limited,clean_characters=19957; prompt_characters=7987; limit=8000
